decision_date,return_date,prob_bear,prob_bull,prob_mix,canonical_asset_simple_return,exposure_cash,exposure_buy_and_hold,exposure_trend,exposure_volatility_target,exposure_drawdown_control,exposure_specialist_atp
2023-03-23,2023-03-24,7.9882786142115901e-05,0.36773362998263798,0.63218648723121973,-0.029971000363820055,0,1,1,0.34640708287983779,1,0
2023-03-24,2023-03-25,1.8861477434375761e-06,0.88724911242214632,0.1127490014301103,0.00048794342769320487,0,1,1,0.34124642596949351,1,0
2023-03-25,2023-03-26,1.3714767839250826e-05,0.70273516669240055,0.29725111853976011,0.018121533287717151,0,1,1,0.337576240334169,1,0
2023-03-26,2023-03-27,4.3297664796868324e-06,0.82693833466742495,0.17305733556609529,-0.030160687793804875,0,1,1,0.3380537897827019,1,0
2023-03-27,2023-03-28,2.3552710250343958e-07,0.96096983842030725,0.0390299260525903,0.0048802423902867265,0,1,1,0.3411454056249017,1,0
2023-03-28,2023-03-29,3.5272729356849454e-06,0.90420304982786182,0.095793422899202396,0.039916074271335367,0,1,1,0.33674685164540907,1,0
2023-03-29,2023-03-30,1.923827580953434e-06,0.9259260673987052,0.074072008773713796,-0.011319064281280045,0,1,1,0.33795469495449842,1,0
2023-03-30,2023-03-31,1.1804802475772956e-08,0.99423676425012864,0.0057632239450687997,0.015847589147148566,0,1,1,0.33143608937041075,1,0
2023-03-31,2023-04-01,1.875794432592468e-08,0.99327901260415841,0.0067209686378972002,-0.00061811425982583046,0,1,1,0.33190252874037995,1,0
2023-04-01,2023-04-02,8.8291727935038459e-09,0.9958368451989642,0.0041631459718628003,-0.0090595689500668763,0,1,1,0.33281341195026348,1,0
2023-04-02,2023-04-03,4.5075133248821248e-09,0.99670277473698266,0.0032972207555038999,-0.014050492405570547,0,1,1,0.33303050093538022,1,0
2023-04-03,2023-04-04,4.0806189277730155e-09,0.99707294390738721,0.0029270520119937002,0.013031389715165487,0,1,1,0.34301877544318893,1,0
2023-04-04,2023-04-05,6.8600905695315845e-09,0.99613176584337004,0.0038682272965393002,0.00032310292425896669,0,1,1,0.34220735043287992,1,0
2023-04-05,2023-04-06,1.460027253121397e-09,0.99799511575714184,0.0020048827828308999,-0.0048556267414413545,0,1,1,0.34149483746979953,1,0
2023-04-06,2023-04-07,5.5812877432058149e-10,0.99840186024637878,0.0015981391954924,-0.0045048097671979148,0,1,1,0.34149873728718194,1,0
2023-04-07,2023-04-08,6.7020606053632967e-10,0.99835394413307443,0.0016460551967195001,0.0011035313001603875,0,1,1,0.34179458645348409,1,0
2023-04-08,2023-04-09,4.1176831286240654e-10,0.99849384723743118,0.0015061523508004999,0.013793251542524976,0,1,1,0.34409218415436743,1,0
2023-04-09,2023-04-10,2.1909796607845311e-11,0.99969779599689002,0.00030220398120030001,0.046401615442728694,0,1,1,0.36488936107197739,1,0
2023-04-10,2023-04-11,4.2211486435438974e-12,0.99988700334301162,0.0001129966527671,0.019182888566512624,0,1,1,0.36420989745305626,1,0
2023-04-11,2023-04-12,4.9903309854609576e-14,0.99997537075509202,2.462924485813772e-05,-0.010698585879985067,0,1,1,0.35522612381553859,1,0
2023-04-12,2023-04-13,4.4801372869522805e-14,0.99996858981908265,3.1410180872486631e-05,0.016763477702232521,0,1,1,0.38413657754847208,1,0
2023-04-13,2023-04-14,4.083108928260377e-12,0.99963706706409561,0.00036293293182120001,0.0028005028399928911,0,1,1,0.44548787143138757,1,0
2023-04-14,2023-04-15,2.7821212906648441e-12,0.99981213057920915,0.0001878694180086,-0.0056739683321027634,0,1,1,0.44760871236974331,1,0
2023-04-15,2023-04-16,2.2641859185638263e-12,0.99986461885547595,0.00013538114225969999,0.00035313997544528242,0,1,1,0.4500532607460867,1,0
2023-04-16,2023-04-17,2.1528673279388787e-11,0.99953514475999916,0.00046485521847189999,-0.028881271382995122,0,1,1,0.45798251986762162,1,0
2023-04-17,2023-04-18,4.0399071534168391e-10,0.99766087976984197,0.002339119826167,0.032182884942703938,0,1,1,0.59706333037536885,1,0
2023-04-18,2023-04-19,3.5521906261951057e-09,0.9914006169170192,0.0085993795307901001,-0.051625622897617629,0,1,1,0.58390824561085908,1,0
2023-04-19,2023-04-20,6.5445933106723085e-10,0.99666476753628741,0.0033352318092532002,-0.019893314638522619,0,1,1,0.59631867675102745,1,0
2023-04-20,2023-04-21,1.1793272741975697e-07,0.93010007254057603,0.069899809526696305,-0.034549671570970775,0,1,1,0.53880177587697298,1,0
2023-04-21,2023-04-22,2.5174419909017592e-06,0.74511337358047225,0.25488410897753672,0.020139520553974499,0,1,1,0.5344217192785814,1,0
2023-04-22,2023-04-23,3.0036344067419448e-05,0.40544126203927472,0.59452870161665794,-0.0079995973236403062,0,1,0,0.5297004971728041,0.5,0
2023-04-23,2023-04-24,9.5506119757198726e-06,0.56884478117688275,0.43114566821114148,-0.0029755648499171228,0,1,0,0.54652376906827449,1,0
2023-04-24,2023-04-25,7.9139839979814582e-06,0.54380288096854945,0.45618920504745231,0.028699385298789792,0,1,1,0.56360713881850366,1,0
2023-04-25,2023-04-26,3.6972352749228913e-05,0.24184865182512921,0.7581143758221216,0.0044454181802762172,0,1,1,0.56341564559593948,0.5,0
2023-04-26,2023-04-27,1.0111320361601812e-05,0.43246713298100953,0.56752275569862876,0.036985568838259875,0,1,1,0.55400407025179499,1,0
2023-04-27,2023-04-28,2.4677920547023831e-06,0.71204877577735015,0.28794875643059492,-0.0052279998235847946,0,1,1,0.57385907061907859,1,0
2023-04-28,2023-04-29,3.8566361583291673e-07,0.90904288159415758,0.090956732742226501,-0.0029909487139261337,0,1,1,0.54718881794875673,1,0
2023-04-29,2023-04-30,2.1483898597336506e-06,0.82570400224188045,0.1742938493682597,0.00061571931408876956,0,1,1,0.57771228364234728,1,0
2023-04-30,2023-05-01,2.7080539312010342e-06,0.82854720545519922,0.17145008649086951,-0.040150963520567795,0,1,1,0.5803049137591616,1,0
2023-05-01,2023-05-02,9.8593887633185242e-06,0.65132493677058212,0.34866520384065453,0.021066615380231912,0,1,1,0.5857874654867623,1,0
2023-05-02,2023-05-03,0.0002161007785422,0.24280714755949009,0.75697675166196765,0.012365229463080496,0,1,0,0.55123661425424497,1,0
2023-05-03,2023-05-04,4.9078461288224496e-05,0.42719190258770562,0.57275901895100623,-0.0062535316087597437,0,1,1,0.54459835001596024,1,0
2023-05-04,2023-05-05,5.8690990019075115e-06,0.75754928199699956,0.24244484890399851,0.023268069939428981,0,1,1,0.54506559040399682,1,0
2023-05-05,2023-05-06,1.9428500445007416e-05,0.53533842081863203,0.46464215068092302,-0.022230730656113251,0,1,1,0.54747384754907025,1,0
2023-05-06,2023-05-07,3.7541712564794934e-06,0.81036649858818732,0.1896297472405562,-0.014980715317894022,0,1,1,0.53699142524623389,1,0
2023-05-07,2023-05-08,2.5856195097795329e-05,0.51544115744428365,0.48453298636061848,-0.026536686273957888,0,1,1,0.52907870769174359,1,0
2023-05-08,2023-05-09,4.6304166584508309e-05,0.2996046374632288,0.70034905837018657,-0.0012865687284291383,0,1,1,0.52541891971828159,1,0
2023-05-09,2023-05-10,0.00046823339223670002,0.1067008994040584,0.89283086720370475,-0.0011434816120197144,0,1,0,0.51289155306284517,1,0
2023-05-10,2023-05-11,0.00058867810896860002,0.051481566681254802,0.9479297552097764,-0.022453837041223279,0,1,0,0.51559170612811733,1,0
2023-05-11,2023-05-12,0.00046601158267020002,0.058769365156261598,0.94076462326106802,-0.0068300998758500375,0,1,0,0.55148882584309611,1,0
2023-05-12,2023-05-13,0.0032477894949167999,0.0050562313893715996,0.99169597911571161,-0.00080972566345272057,0,1,0,0.54890658583115282,0.5,0
2023-05-13,2023-05-14,0.0096641924147023994,0.0029417770639646999,0.98739403052133279,0.0053216319671365309,0,1,0,0.55054678720974726,0.5,0
2023-05-14,2023-05-15,0.013593609371228299,0.0012029866814807001,0.985203403947291,0.0098031203566122382,0,1,0,0.55607532843611807,0.5,0
