decision_date,return_date,router_valid,router_fallback_used,risk_fallback_used,desired_exposure,final_exposure,pretrade_exposure,turnover,ambiguity_cvar,asset_simple_return,portfolio_net_return,weight_0,weight_1,weight_2,weight_3,weight_4,weight_5
2022-08-27,2022-08-28,True,False,False,0.40718131422289183,0.40000000000000002,0.39742901777965139,0.0025709822203486277,0.036762667941025652,-0.024144075791533437,-0.0096601764692378911,0.59281868577710828,0.40718131422289183,0,0,0,0
2022-08-28,2022-08-29,True,False,False,0.40718042635395674,0.40000000000000002,0.39414891418629244,0.0058510858137075794,0.036765827467382904,0.038137717261204518,0.015249146559845439,0.59281957364604332,0.40718042635395674,0,0,0,0
2022-08-29,2022-08-30,True,False,False,0.40718009735880012,0.40000000000000002,0.40901551960758631,0.0090155196075862865,0.036768875575984662,-0.024793306989623454,-0.0099262489056388681,0.59281990264119988,0.40718009735880012,0,0,0,0
2022-08-30,2022-08-31,True,False,False,0.40718115229884405,0.40000000000000002,0.39399000324466571,0.0060099967553343125,0.03674845150054501,0.012696664409931113,0.0050726252444524,0.592818847701156,0.40718115229884405,0,0,0,0
2022-08-31,2022-09-01,True,False,False,0.39598605266583581,0.40000000000000002,0.40303180194961874,0.0030318019496187176,0.036745582732545329,0.0041009983087121338,0.0016373625481693743,0.60401394733416425,0.39598605266583581,0,0,0,0
2022-09-01,2022-09-02,True,False,False,0.39598662713810462,0.40000000000000002,0.40098262769228932,0.00098262769228929514,0.03674360885040584,-0.0086156781492687795,-0.0034472505009982557,0.60401337286189538,0.39598662713810462,0,0,0,0
2022-09-02,2022-09-03,True,False,False,0.39599009007280683,0.40000000000000002,0.3979250865295158,0.0020749134704842187,0.03674466100269648,-0.0060793777283274508,-0.0024338209591283633,0.60400990992719317,0.39599009007280683,0,0,0,0
2022-09-03,2022-09-04,True,False,False,0.3959879678342742,0.40000000000000002,0.39853739264817745,0.0014626073518225757,0.036744071194334732,0.0084966265619168535,0.0033971830465235886,0.60401203216572585,0.3959879678342742,0,0,0,0
2022-09-04,2022-09-05,True,False,False,0.39598889992235864,0.40000000000000002,0.40203228335377006,0.0020322833537700369,0.036744619938923813,-0.010340051700258646,-0.0041380445578912406,0.60401110007764136,0.39598889992235864,0,0,0,0
2022-09-05,2022-09-06,True,False,False,0.39599115979898264,0.40000000000000002,0.39750808096326889,0.0024919190367311272,0.036745062686368075,-0.050861158686612895,-0.020346904696926127,0.60400884020101731,0.39599115979898264,0,0,0,0
2022-09-06,2022-09-07,True,False,False,0.39598849616553283,0.40000000000000002,0.38753982636786627,0.012460173632133753,0.036754664680750795,0.026354171102499491,0.010529076916348634,0.60401150383446722,0.39598849616553283,0,0,0,0
2022-09-07,2022-09-08,True,False,False,0.39598586538122066,0.40000000000000002,0.40625902054524649,0.0062590205452464631,0.036748691374537915,0.0018618883385630447,0.00073849165344097578,0.60401413461877929,0.39598586538122066,0,0,0,0
2022-09-08,2022-09-09,True,False,False,0.39598630715017519,0.40000000000000002,0.40044652065261677,0.00044652065261674423,0.036743092441366018,0.10600805491422238,0.042402756511122019,0.60401369284982487,0.39598630715017519,0,0,0,0
2022-09-09,2022-09-10,True,False,False,0.39598782129497451,0.40000000000000002,0.4244069978327934,0.024406997832793376,0.036766172546823989,0.013348810214741658,0.0053149867663111472,0.60401217870502555,0.39598782129497451,0,0,0,0
2022-09-10,2022-09-11,True,False,False,0.39602342254226325,0.40000000000000002,0.40318669899549708,0.0031866989954970615,0.036533450992026234,0.0085217825074825893,0.0034055154414551758,0.6039765774577367,0.39602342254226325,0,0,0,0
2022-09-11,2022-09-12,True,False,False,0.39620616878715115,0.40000000000000002,0.40203827989062896,0.0020382798906289357,0.033687288249153784,0.025665333937870072,0.010264074370003762,0.60379383121284891,0.39620616878715115,0,0,0,0
2022-09-12,2022-09-13,True,False,False,0.39630914563114694,0.40000000000000002,0.40609708663923128,0.0060970866392312528,0.033691210333703793,-0.099119011578322258,-0.039653459983087669,0.60369085436885306,0.39630914563114694,0,0,0,0
2022-09-13,2022-09-14,True,False,False,0.39644286640981458,0.40000000000000002,0.3752293398824032,0.024770660117596821,0.039042894253513587,0.0023295581274318522,0.00090702950897814105,0.60355713359018537,0.39644286640981458,0,0,0,0
2022-09-14,2022-09-15,True,False,False,0.39599297412748913,0.40000000000000002,0.40055857345884732,0.00055857345884730014,0.039019626900446164,-0.025753492397082467,-0.010301949778204866,0.60400702587251087,0.39599297412748913,0,0,0,0
2022-09-15,2022-09-16,True,False,False,0.39599181720034643,0.40000000000000002,0.39375482782707066,0.0062451721729293586,0.039025091613252565,0.0051112340559444913,0.0020382356819901304,0.60400818279965351,0.39599181720034643,0,0,0,0
2022-09-16,2022-09-17,True,False,False,0.39598886578747522,0.40000000000000002,0.40122419331799553,0.0012241933179955033,0.039020266548424089,0.01571021694340069,0.0062828548911053606,0.60401113421252473,0.39598886578747522,0,0,0,0
2022-09-17,2022-09-18,True,False,False,0.39600030011384035,0.40000000000000002,0.40374690618281667,0.003746906182816645,0.039022690827328205,-0.034538991224799309,-0.013819291630358554,0.60399969988615965,0.39600030011384035,0,0,0,0
2022-09-18,2022-09-19,True,False,False,0.39601845955942611,0.40000000000000002,0.39159451532142681,0.0084054846785732162,0.03487171211141666,0.0061847282015368155,0.0024654650016808777,0.60398154044057384,0.39601845955942611,0,0,0,0
