cohort,beta,grid_step,decision_date,regime,K,advice_differs,desired_differs,actual_pair_capacity,projection_merge,fallback_used,executed_CASH,executed_ABSTAIN,executed_BTC
fixed_memory,0.05,0.05,2022-06-23,bear,1,False,False,False,False,False,0.35000000000000003,0.35000000000000003,0.35000000000000003
fixed_memory,0.05,0.05,2022-06-24,bear,1,False,False,False,False,False,0.35000000000000003,0.35000000000000003,0.35000000000000003
fixed_memory,0.05,0.05,2022-06-25,bear,1,False,False,False,False,False,0.35000000000000003,0.35000000000000003,0.35000000000000003
fixed_memory,0.05,0.05,2022-06-26,bear,1,False,False,False,False,False,0.35000000000000003,0.35000000000000003,0.35000000000000003
fixed_memory,0.05,0.05,2022-06-27,bear,1,False,False,False,False,False,0.35000000000000003,0.35000000000000003,0.35000000000000003
fixed_memory,0.05,0.05,2022-06-28,bear,1,False,False,False,False,False,0.35000000000000003,0.35000000000000003,0.35000000000000003
fixed_memory,0.05,0.05,2022-06-29,bear,1,False,False,False,False,False,0.35000000000000003,0.35000000000000003,0.35000000000000003
fixed_memory,0.05,0.05,2022-06-30,bear,1,False,False,False,False,False,0.35000000000000003,0.35000000000000003,0.35000000000000003
fixed_memory,0.05,0.05,2022-07-01,bear,1,False,False,False,False,False,0.35000000000000003,0.35000000000000003,0.35000000000000003
fixed_memory,0.05,0.05,2022-07-02,bear,1,False,False,False,False,False,0.35000000000000003,0.35000000000000003,0.35000000000000003
fixed_memory,0.05,0.05,2022-07-03,bear,1,False,False,False,False,False,0.35000000000000003,0.35000000000000003,0.35000000000000003
fixed_memory,0.05,0.05,2022-07-04,bear,1,False,False,False,False,False,0.35000000000000003,0.35000000000000003,0.35000000000000003
fixed_memory,0.05,0.05,2022-07-05,bear,1,False,False,False,False,False,0.35000000000000003,0.35000000000000003,0.35000000000000003
fixed_memory,0.05,0.05,2022-07-06,bear,1,False,False,False,False,False,0.35000000000000003,0.35000000000000003,0.35000000000000003
fixed_memory,0.05,0.05,2022-07-07,bear,1,False,False,False,False,False,0.35000000000000003,0.35000000000000003,0.35000000000000003
fixed_memory,0.05,0.05,2022-07-08,bear,1,False,False,False,False,False,0.35000000000000003,0.35000000000000003,0.35000000000000003
fixed_memory,0.05,0.05,2022-07-09,bear,1,False,False,False,False,False,0.35000000000000003,0.35000000000000003,0.35000000000000003
fixed_memory,0.05,0.05,2022-07-10,bear,1,False,False,False,False,False,0.35000000000000003,0.35000000000000003,0.35000000000000003
fixed_memory,0.05,0.05,2022-07-11,bear,1,False,False,False,False,False,0.35000000000000003,0.35000000000000003,0.35000000000000003
fixed_memory,0.05,0.05,2022-07-12,bear,1,False,False,False,False,False,0.35000000000000003,0.35000000000000003,0.35000000000000003
fixed_memory,0.05,0.05,2022-07-13,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-07-14,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-07-15,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-07-16,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-07-17,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-07-18,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-07-19,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-07-20,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-07-21,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-07-22,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-07-23,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-07-24,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-07-25,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-07-26,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-07-27,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-07-28,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-07-29,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-07-30,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-07-31,bear,2,False,False,False,False,False,0.4,0.4,0.45
fixed_memory,0.05,0.05,2022-08-01,bear,2,False,False,False,False,False,0.4,0.4,0.45
