decision_date,return_date,router_valid,router_fallback_used,risk_fallback_used,desired_exposure,final_exposure,pretrade_exposure,turnover,ambiguity_cvar,asset_simple_return,portfolio_net_return,weight_0,weight_1,weight_2,weight_3,weight_4,weight_5
2024-07-28,2024-07-29,True,False,False,0.44431527014979816,0.45000000000000001,0.45150328447968685,0.0015032844796868394,0.025079949954276509,-0.021354805343975714,-0.0096111512432124346,0.5556847298502019,0.44431527014979816,0,0,0,0
2024-07-29,2024-07-30,True,False,False,0.44903333369519266,0.45000000000000001,0.44466340277968852,0.0053365972203114898,0.025083687133343528,-0.0091888015784739041,-0.00414027524091376,0.55096666630480728,0.44903333369519266,0,0,0,0
2024-07-30,2024-07-31,True,False,False,0.4492266477523677,0.45000000000000001,0.44771632871830264,0.0022836712816973748,0.025004359808843822,-0.023553710891759172,-0.010601429367553483,0.55077335224763224,0.4492266477523677,0,0,0,0
2024-07-31,2024-08-01,True,False,False,0.44329473973918404,0.45000000000000001,0.4441080063121346,0.0058919936878654156,0.025007877915492343,0.01155726797264256,0.0051948479510937062,0.55670526026081602,0.44329473973918404,0,0,0,0
2024-08-01,2024-08-02,True,False,False,0.44334469492486528,0.45000000000000001,0.45284562438363107,0.0028456243836310624,0.025004907711919433,-0.059569026309067019,-0.026808831183480653,0.55665530507513472,0.44334469492486528,0,0,0,0
2024-08-02,2024-08-03,True,False,False,0.44240614650333659,0.45000000000000001,0.43485056941542904,0.015149430584570966,0.025641378890673666,-0.012719852566823953,-0.0057389963713196934,0.55759385349666335,0.44240614650333659,0,0,0,0
2024-08-03,2024-08-04,True,False,False,0.44255854242427395,0.45000000000000001,0.44683371287225898,0.0031662871277410298,0.025629702834652875,-0.042092897966446219,-0.018944910396837988,0.55744145757572605,0.44255854242427395,0,0,0,0
2024-08-04,2024-08-05,True,False,False,0.4401269409231684,0.45000000000000001,0.43938086212410887,0.010619137875891138,0.025646117197298427,-0.071597370566442775,-0.032229093756717786,0.55987305907683171,0.4401269409231684,0,0,0,0
2024-08-05,2024-08-06,True,False,False,0.3979299895004535,0.40000000000000002,0.43168971506991294,0.031689715069912916,0.02502939459376544,0.038511272902425064,0.015372331281394036,0.60207001049954645,0.3979299895004535,0,0,0,0
2024-08-06,2024-08-07,True,False,False,0.42026467757575647,0.40000000000000002,0.40910248616506467,0.0091024861650646494,0.025007372011636213,-0.016713106829022939,-0.0066942843654447248,0.57973532242424353,0.42026467757575647,0,0,0,0
2024-08-07,2024-08-08,True,False,False,0.40114240486440522,0.40000000000000002,0.39596185840428255,0.0040381415957174704,0.025002434268069747,0.11935218764570243,0.047736644132271966,0.59885759513559489,0.40114240486440522,0,0,0,0
2024-08-08,2024-08-09,True,False,False,0.44033882272413666,0.45000000000000001,0.42733932188469326,0.022660678115306754,0.028145332593045826,-0.01376181731839865,-0.0062153381379440598,0.5596611772758634,0.44033882272413666,0,0,0,0
2024-08-09,2024-08-10,True,False,False,0.42562189335688472,0.45000000000000001,0.44657272572860601,0.0034272742713939985,0.028126640096165341,0.0013327723966567451,0.00059631824872474759,0.57437810664311539,0.42562189335688472,0,0,0,0
2024-08-10,2024-08-11,True,False,False,0.43268102420926025,0.45000000000000001,0.45032966345331465,0.00032966345331464364,0.028123629600414115,-0.036407978113198736,-0.016383914413321876,0.56731897579073975,0.43268102420926025,0,0,0,0
2024-08-11,2024-08-12,True,False,False,0.4056389442055619,0.40000000000000002,0.44083893427072918,0.040838934270729155,0.025038315096236847,0.010844220985705144,0.0042966723134401086,0.5943610557944381,0.4056389442055619,0,0,0,0
2024-08-12,2024-08-13,True,False,False,0.40945790715070646,0.40000000000000002,0.40259137247027965,0.0025913724702796292,0.025001023665998108,0.020980623420387534,0.0083896362482407394,0.5905420928492936,0.40945790715070646,0,0,0,0
2024-08-13,2024-08-14,True,False,False,0.4204226750725254,0.40000000000000002,0.40499344339868554,0.0049934433986855153,0.025003365688763407,-0.031147681664554172,-0.01246400389554625,0.57957732492747471,0.4204226750725254,0,0,0,0
2024-08-14,2024-08-15,True,False,False,0.40950310317597749,0.40000000000000002,0.39243024426372625,0.0075697557362737755,0.025005877597164574,-0.019983715962785253,-0.0080009956321108744,0.59049689682402262,0.40950310317597749,0,0,0,0
2024-08-15,2024-08-16,True,False,False,0.39728670437613967,0.40000000000000002,0.39516526175459132,0.0048347382454086985,0.025003210951000488,0.023335523319880425,0.0093293294612479816,0.60271329562386033,0.39728670437613967,0,0,0,0
2024-08-16,2024-08-17,True,False,False,0.41525689094614721,0.40000000000000002,0.40554873256550006,0.0055487325655000364,0.025003907096535671,0.01029091057319298,0.0041107926561074759,0.58474310905385274,0.41525689094614721,0,0,0,0
2024-08-17,2024-08-18,True,False,False,0.42362532507638095,0.40000000000000002,0.40245969354305072,0.0024596935430507005,0.025000895278846177,-0.017430160835598563,-0.0069745068786408737,0.57637467492361916,0.42362532507638095,0,0,0,0
