decision_date,return_date,hard_regime,asset_simple_return,desired_exposure_no_controller,counterfactual_pretrade_exposure,counterfactual_turnover,fee_fraction,counterfactual_net_return,wealth_before,wealth_after,original_controller_exposure,action,beta,retrieved_memory_count,cited_memory_count,projection_changes_selected_target
2023-05-21,2023-05-22,mix,0.0036411351070471,0.4801503523533739,0.47601883882992385,0.004131513523450037,4.1315135234500364e-06,0.0017441535679980635,1.1464791241135532,1.148478759768511,0.5,ABSTAIN,0.050000000000000003,0,0,True
2023-05-22,2023-05-23,mix,0.0139082887292205,0.4803365060312044,0.4810576153310292,0.0007211092998247737,7.211092998247737e-07,0.006679932886281881,1.148478759768511,1.156150520805085,0.5,ABSTAIN,0.050000000000000003,0,0,True
2023-05-23,2023-05-24,mix,-0.0327802003622242,0.4803140033139165,0.4837851612431811,0.003471157929264612,3.4711579292646123e-06,-0.01574820577069147,1.156150520805085,1.1379432245015544,0.5,ABSTAIN,0.050000000000000003,0,0,True
2023-05-24,2023-05-25,mix,0.0055985171905621,0.4803596735023681,0.4720007666525619,0.00835890684980617,8.358906849806169e-06,0.0026809205032820582,1.1379432245015544,1.1409939598236916,0.5,ABSTAIN,0.050000000000000003,0,0,True
2023-05-25,2023-05-26,mix,0.0089024694249089,0.4802806712702543,0.4817533950763488,0.001472723806094478,1.4727238060944781e-06,0.004274204970650564,1.1409939598236916,1.1458708018782522,0.5,ABSTAIN,0.050000000000000003,0,0,True
2023-05-26,2023-05-27,mix,0.0054658106059188,0.4802423674554218,0.48249336610024113,0.002250998644819313,2.2509986448193132e-06,0.002622656918127131,1.1458708018782522,1.1488760278640782,0.5,ABSTAIN,0.050000000000000003,0,0,True
2023-05-27,2023-05-28,mix,0.0451903565112166,0.4803914727085329,0.4816031146069599,0.0012116418984270405,1.2116418984270405e-06,0.02170782397113946,1.1488760278640782,1.1738156264416135,0.5,ABSTAIN,0.050000000000000003,0,0,True
2023-05-28,2023-05-29,mix,-0.0118199435720596,0.4802791624486817,0.49143200676254967,0.011152844313867982,1.1152844313867982e-05,-0.005687962130016988,1.1738156264416135,1.1671390076107915,0.5,ABSTAIN,0.050000000000000003,0,0,True
2023-05-29,2023-05-30,mix,-0.0014852520241966,0.4800166193399463,0.4773119288598125,0.002704690480133831,2.704690480133831e-06,-0.00071564841770555,1.1671390076107915,1.1663037464267525,0.5,ABSTAIN,0.050000000000000003,0,0,True
2023-05-30,2023-05-31,mix,-0.017405463170892,0.4802011775711382,0.479645634956056,0.0005555426150822274,5.555426150822273e-07,-0.00835867481015462,1.1663037464267525,1.1565549926805063,0.5,ABSTAIN,0.050000000000000003,0,0,True
