scope,strategy,first_return_date,last_return_date,days,arithmetic_mean_daily,geometric_mean_daily,daily_volatility,annualized_volatility,sharpe_zero_cash_rate,daily_loss_cvar95,positive_day_fraction,log_growth_contribution,cumulative_return,annualized_geometric_return,maximum_drawdown_loss,opening_wealth_original_path,closing_wealth_original_path,mean_btc_fraction,minimum_btc_fraction,maximum_btc_fraction,total_turnover,total_cost_in_initial_wealth_units
2023,MEMORY,2023-01-01,2023-12-31,365,0.0013731699839170757,0.001311010133623312,0.011209165733730911,0.21422413741684618,2.3412410136107793,0.021902959774407236,0.5041095890410959,0.47820530122257116,0.6131766365250895,0.6137050995178285,0.09611876085003723,0.8573631576890904,1.3830782150014145,0.48027397260273974,0.4,0.5,3.5070328933962465,0.003891907249058705
2023,NO_MEMORY,2023-01-01,2023-12-31,365,0.0013692156165922042,0.0013066689971800412,0.011243710064775361,0.21488433191271042,2.3273265179866804,0.021981178300158034,0.5041095890410959,0.4766228575856168,0.610625894156634,0.6111517752750151,0.09643023498208636,0.8568281420213412,1.3800295923816923,0.48136986301369866,0.4,0.5,2.9681233512729275,0.003276969010881819
2023,CASH,2023-01-01,2023-12-31,365,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2023,BTC_BUY_AND_HOLD,2023-01-01,2023-12-31,365,0.0028353410144281825,0.002574575044578085,0.023034381048638045,0.4402219155549059,2.35246876388354,0.0448772599382389,0.5041095890410959,0.9385122738708445,1.5561756987192652,1.5578193791931916,0.20020593591198066,0.5627015963950923,1.4383641463356842,1.0,1.0,1.0,0.0,0.0
2023,STATIC45_REBALANCED_SECONDARY,2023-01-01,2023-12-31,365,0.0012721003692466066,0.001218895651332394,0.01036512081111534,0.1980931603411592,2.345536105674329,0.02020054835682979,0.5041095890410959,0.44462599140775017,0.5599066682202758,0.5603817919666345,0.0937186920419587,0.8772311818282366,1.368398770104622,0.4500000000000002,0.45,0.45,1.3852515567344954,0.0015715679699678815
2023,STATIC50_REBALANCED,2023-01-01,2023-12-31,365,0.0014138302056358883,0.0013481927086677924,0.011516830248282282,0.22010407235662538,2.346169596407124,0.022444445859568445,0.5041095890410959,0.49175892020430617,0.6351898604457622,0.6357407197865124,0.10376470063024157,0.8535088223154983,1.3956489720513081,0.5,0.5,0.5,1.3984858873428947,0.0015873424277206786
2024,MEMORY,2024-01-01,2024-12-31,366,0.0011606031658366743,0.0010803578617188953,0.012714827480182456,0.2429996142486769,1.744489626588588,0.025902676273513003,0.5245901639344263,0.395197538423244,0.4846774427967797,0.4834755916607413,0.1231468251949267,1.3830782150014145,2.053425027436234,0.4527322404371586,0.35000000000000003,0.5,2.720002892818869,0.004634438745247787
2024,NO_MEMORY,2024-01-01,2024-12-31,366,0.0011549543306357175,0.0010743704856770193,0.012741105703724392,0.24350183090822525,1.7324184696733884,0.02606133785620221,0.5245901639344263,0.39300851716498997,0.481431006867838,0.48023842362162994,0.1253994711799017,1.3800295923816923,2.044418628549425,0.45327868852459025,0.35000000000000003,0.5,2.573635087172408,0.0043312409119040845
2024,CASH,2024-01-01,2024-12-31,366,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2024,BTC_BUY_AND_HOLD,2024-01-01,2024-12-31,366,0.0025545856352461637,0.0021729483052625666,0.027800420693443337,0.5313081530195268,1.756160521857019,0.05593724736844101,0.5245901639344263,0.7944362575183307,1.21319297415577,1.2095929529224405,0.2613995781913143,1.4383641463356842,3.183377422947726,1.0,1.0,1.0,0.0,0.0
