decision_date,return_date,strategy,forecast_regime,asset_simple_return,net_return,gross_return_before_cost,pretrade_btc_fraction,btc_fraction,cash_fraction,turnover,cost_fraction_pretrade_wealth,cost_paid_in_initial_wealth_units,wealth_before,wealth_after,running_peak_wealth,drawdown_from_running_peak
2022-06-02,2022-06-03,NO_MEMORY,bear,-0.0247771338510285,-0.009916046837328607,-0.0099108535404114,0.4052452821401603,0.4,0.6,0.00524528214016029,5.24528214016029e-06,5.7552424167984794e-06,1.097222658955502,1.086342547678321,1.5365569825217902,0.2930021079365239
2022-06-03,2022-06-04,NO_MEMORY,bear,0.0055015167890535,0.002194587461617825,0.0022006067156214,0.39399396292191396,0.4,0.6,0.006006037078086057,6.0060370780860575e-06,6.524613620858466e-06,1.086342547678321,1.0887266214124778,1.5365569825217902,0.2914505392272113
2022-06-04,2022-06-05,NO_MEMORY,bear,0.0016307095763168,0.0006509655063582365,0.00065228383052672,0.4013174648074699,0.4,0.6,0.0013174648074698592,1.3174648074698591e-06,1.4343590086665003e-06,1.0887266214124778,1.0894353448888712,1.5365569825217902,0.29098929796869955
2022-06-05,2022-06-06,NO_MEMORY,bear,0.0486276869588473,0.01945067606074824,0.019451074783538923,0.40039111518020815,0.4,0.6,0.00039111518020812364,3.9111518020812363e-07,4.2609470124131024e-07,1.0894353448888712,1.1106255988714342,1.5365569825217902,0.277198560479885
2022-06-06,2022-06-07,NO_MEMORY,bear,-0.0076129509430112,-0.0030565934856303656,-0.00304518037720448,0.4114479695581285,0.4,0.6,0.01144796955812849,1.1447969558128491e-05,1.2714408046358403e-05,1.1106255988714342,1.1072308679009495,1.5365569825217902,0.27940787065132633
2022-06-07,2022-06-08,NO_MEMORY,bear,-0.0297859217187942,-0.011916179541279326,-0.011914368687517682,0.3981673109048071,0.4,0.6,0.0018326890951929076,1.8326890951929077e-06,2.029209937463049e-06,1.1072308679009495,1.0940369060853952,1.5365569825217902,0.287994575840678
2022-06-08,2022-06-09,NO_MEMORY,bear,-0.0034369040050857,-0.0013819864754018862,-0.00137476160203428,0.3927651804803446,0.4,0.6,0.007234819519655433,7.234819519655433e-06,7.915159563370054e-06,1.0940369060853952,1.0925249618775947,1.5365569825217902,0.28897855770727887
2022-06-09,2022-06-10,NO_MEMORY,bear,-0.0337067825555356,-0.013483527878098367,-0.013482713022214241,0.3991740074960014,0.4,0.6,0.0008259925039986182,8.259925039986182e-07,9.024174289422695e-07,1.0925249618775947,1.0777938710965997,1.5365569825217902,0.2985656351463586
2022-06-10,2022-06-11,NO_MEMORY,bear,-0.0233776772236987,-0.009359194397537629,-0.009351070889479481,0.3917998113970093,0.4,0.6,0.00820018860299071,8.20018860299071e-06,8.838113018139576e-06,1.0777938710965997,1.067706588736532,1.5365569825217902,0.3051304957241372
2022-06-11,2022-06-12,NO_MEMORY,bear,-0.0632705943654633,-0.025313758013656318,-0.02530823774618532,0.394336396710462,0.4,0.6,0.005663603289538022,5.663603289538022e-06,6.047066548229643e-06,1.067706588736532,1.0406789225196689,1.5365569825217902,0.3227202542064457
2022-06-12,2022-06-13,NO_MEMORY,bear,-0.1562900516043193,-0.0625306259159395,-0.06251602064172772,0.38442077461227486,0.4,0.6,0.01557922538772516,1.557922538772516e-05,1.621297149018889e-05,1.0406789225196689,0.9756046181169885,1.5365569825217902,0.365070980631105
2022-06-13,2022-06-14,NO_MEMORY,bear,-0.0129499287241625,-0.005219775171097285,-0.005179971489665001,0.3599890630550159,0.4,0.6,0.04001093694498414,4.001093694498415e-05,3.9034854858714164e-05,0.9756046181169885,0.9705121813545337,1.5365569825217902,0.3683851673618159
2022-06-14,2022-06-15,NO_MEMORY,bear,0.0189824572488526,0.007589835011817758,0.0075929828995410405,0.3968758340154722,0.4,0.6,0.0031241659845278047,3.124165984527805e-06,3.032041144557714e-06,0.9705121813545337,0.9778782086879739,1.5365569825217902,0.3635913149910752
2022-06-15,2022-06-16,NO_MEMORY,bear,-0.0970550848395999,-0.03882637986201276,-0.03882203393583997,0.4045214583835374,0.4,0.6,0.004521458383537402,4.521458383537403e-06,4.421435624750777e-06,0.9778782086879739,0.9399107378986701,1.5365569825217902,0.38830076034271577
2022-06-16,2022-06-17,NO_MEMORY,bear,0.0028450060333748,0.0009699604900532677,0.00099575211168118,0.37576596511373933,0.35000000000000003,0.6499999999999999,0.025765965113739298,2.5765965113739297e-05,2.4217707282726095e-05,0.9399107378986701,0.9408224141786086,1.5365569825217902,0.3877074362484526
2022-06-17,2022-06-18,NO_MEMORY,bear,-0.07131956604678,-0.024962478571190383,-0.024961848116373,0.35064659502423207,0.35000000000000003,0.6499999999999999,0.0006465950242320329,6.465950242320329e-07,6.083310916938571e-07,0.9408224141786086,0.9173371548253795,1.5365569825217902,0.4029917762503997
2022-06-18,2022-06-19,NO_MEMORY,bear,0.0837805809390883,0.02930607479261349,0.029323203328680908,0.33335941907063044,0.35000000000000003,0.6499999999999999,0.016640580929369597,1.6640580929369598e-05,1.5265023164389376e-05,0.9173371548253795,0.9442207060947353,1.5365569825217902,0.3854958085933887
2022-06-19,2022-06-20,NO_MEMORY,bear,-0.0002381276364131,-0.0001018602308762162,-8.334467274458501e-05,0.3685171014332574,0.35000000000000003,0.6499999999999999,0.018517101433257355,1.8517101433257355e-05,1.7484230590138093e-05,0.9442207060947353,0.9441245275556144,1.5365569825217902,0.3855584021321997
2022-06-20,2022-06-21,NO_MEMORY,bear,0.0071990005978914,0.0025195958941981456,0.00251965020926199,0.34994582144722236,0.35000000000000003,0.6499999999999999,5.4178552777672806e-05,5.417855277767281e-08,5.115130054486726e-08,0.9441245275556144,0.9465033398388553,1.5365569825217902,0.3840102576049875
2022-06-21,2022-06-22,NO_MEMORY,bear,-0.0364182158645587,-0.012747988385790943,-0.012746375552595546,0.35163365639334704,0.35000000000000003,0.6499999999999999,0.001633656393347005,1.633656393347005e-06,1.546261232452039e-06,0.9465033398388553,0.9344373262554772,1.5365569825217902,0.39186288768680555
2022-06-22,2022-06-23,NO_MEMORY,bear,0.0568422001622774,0.01988621098450105,0.019894770056797094,0.3416078868651158,0.35000000000000003,0.6499999999999999,0.00839211313488425,8.39211313488425e-06,7.841903759394709e-06,0.9344373262554772,0.9530197440771866,1.5365569825217902,0.37976934476384017
2022-06-23,2022-06-24,NO_MEMORY,bear,0.0059808442373949,0.002080589593639104,0.002093295483088215,0.3626793478274215,0.35000000000000003,0.6499999999999999,0.012679347827421472,1.2679347827421472e-05,1.2083668821554843e-05,0.9530197440771866,0.9550025870392462,1.5365569825217902,0.3784788993168998
2022-06-24,2022-06-25,NO_MEMORY,bear,0.0123899391809449,0.004335115025472902,0.004336478713330715,0.3513577997878446,0.35000000000000003,0.6499999999999999,0.0013577997878445602,1.3577997878445604e-06,1.2967023100728947e-06,0.9550025870392462,0.9591426331036855,1.5365569825217902,0.37578453385468
2022-06-25,2022-06-26,NO_MEMORY,bear,-0.0207725489648625,-0.0072731782737105455,-0.007270392137701876,0.3528065406598356,0.35000000000000003,0.6499999999999999,0.0028065406598355436,2.8065406598355437e-06,2.6918727983872184e-06,0.9591426331036855,0.9521666177432063,1.5365569825217902,0.38032456422116223
2022-06-26,2022-06-27,NO_MEMORY,bear,-0.0148882077601159,-0.005215608274993455,-0.0052108727160405655,0.3452396353930831,0.35000000000000003,0.6499999999999999,0.0047603646069169225,4.760364606916922e-06,4.532660266992554e-06,0.9521666177432063,0.9472004896525323,1.5365569825217902,0.38355654855182053
