scope,forecast_regime,strategy,days,arithmetic_mean_daily,geometric_mean_daily,daily_volatility,annualized_volatility,sharpe_zero_cash_rate,daily_loss_cvar95,positive_day_fraction,log_growth_contribution
2021,bear,MEMORY,123,0.0004661080972738311,0.0003145068571017032,0.017452512046336875,0.33354394320648617,0.5104154519870057,0.03908344559040637,0.5121951219512195,0.038678261453055765
2021,mix,MEMORY,98,-0.001180017321872358,-0.0013616183398170631,0.019087147294669943,0.36478429903524856,-1.1815237880406462,0.04968026615504479,0.46938775510204084,-0.1335295260722951
2021,bull,NO_MEMORY,143,0.0026282194526935226,0.0024185112252702538,0.020624429543564998,0.3941640915692072,2.435425183645274,0.03804384048929301,0.5244755244755245,0.34542956074902764
2021,bear,NO_MEMORY,123,0.0004661080972738311,0.0003145068571017032,0.017452512046336875,0.33354394320648617,0.5104154519870057,0.03908344559040637,0.5121951219512195,0.038678261453055765
2021,mix,NO_MEMORY,98,-0.001180017321872358,-0.0013616183398170631,0.019087147294669943,0.36478429903524856,-1.1815237880406462,0.04968026615504479,0.46938775510204084,-0.1335295260722951
2021,bull,CASH,143,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021,bear,CASH,123,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021,mix,CASH,98,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021,bull,BTC_BUY_AND_HOLD,143,0.005794997776060086,0.004902768486721815,0.04276395354699994,0.8172839334128507,2.5898257033724588,0.07697494637154079,0.5244755244755245,0.6993828350459113
2021,bear,BTC_BUY_AND_HOLD,123,0.001428237361561911,0.0004515449999409037,0.0443257319023074,0.8471318836483659,0.6157998611312147,0.094636733797031,0.5121951219512195,0.05552749935364387
2021,mix,BTC_BUY_AND_HOLD,98,-0.002296722911224978,-0.0030783017275373423,0.03945394468572321,0.7540246498949587,-1.112533978089158,0.10123484028777191,0.46938775510204084,-0.30213884551916087
2021,bull,STATIC45_REBALANCED_SECONDARY,143,0.0026002434731003028,0.0024179970102108325,0.01924391204749052,0.3677803109373025,2.582353922452887,0.034646459179734634,0.5244755244755245,0.3453562053874356
2021,bear,STATIC45_REBALANCED_SECONDARY,123,0.0006343506385163314,0.0004370217841163219,0.01994493464619183,0.3811779147451034,0.607843638771746,0.042593400809319684,0.5121951219512195,0.053741937102842405
2021,mix,STATIC45_REBALANCED_SECONDARY,98,-0.0010407137681486787,-0.0011976163588068639,0.017754000578065608,0.3393058457588149,-1.120289286399451,0.045562052756323954,0.46938775510204084,-0.11743673928801124
2021,bull,STATIC50_REBALANCED,143,0.0028899207905863458,0.0026651243339209183,0.021382094340929997,0.4086442135981106,2.5830380894607705,0.03849525998379678,0.5244755244755245,0.38060582381302416
2021,bear,STATIC50_REBALANCED,123,0.0007056720399602961,0.0004620267577426896,0.022161174730576907,0.4235336200370088,0.6085625801630008,0.047325253747129314,0.5121951219512195,0.05681616691812935
2021,mix,STATIC50_REBALANCED,98,-0.0011556247210134272,-0.001349470294029842,0.019726682199471386,0.3770067798677675,-1.1195871052987432,0.05062383092996277,0.46938775510204084,-0.13233740160758956
2022,bear,MEMORY,321,-0.0005359063770648011,-0.0006292684366524391,0.01367821420065504,0.2614113938667655,-0.7487806913369737,0.0344562337277296,0.45482866043613707,-0.20205874943179628
2022,mix,MEMORY,44,-0.004460095403401461,-0.004603857372295499,0.016943677098663668,0.3238193365459906,-5.0307367789354265,0.05801409605715466,0.4772727272727273,-0.2030374615895603
2022,bear,NO_MEMORY,321,-0.0005359063770648011,-0.0006292684366524391,0.01367821420065504,0.2614113938667655,-0.7487806913369737,0.0344562337277296,0.45482866043613707,-0.20205874943179628
2022,mix,NO_MEMORY,44,-0.004460095403401461,-0.004603857372295499,0.016943677098663668,0.3238193365459906,-5.0307367789354265,0.05801409605715466,0.4772727272727273,-0.2030374615895603
2022,bear,CASH,321,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022,mix,CASH,44,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022,bear,BTC_BUY_AND_HOLD,321,-0.001335405694312335,-0.0018922344027883164,0.033308717838318,0.6365800557219318,-0.7662145954202503,0.0841034763163172,0.45482866043613707,-0.6079826477174529
